GU798256	#33cc3c	Equus asinus
EU851127	#cc3333	dog
EU851129	#cc3333	dog
KC787068	#cc3333	dog
KX148210	#69cc33	Homo sapiens
DQ420623	#69cc33	Homo sapiens
KC787069	#cc3333	dog
LC380184	#cc3333	dog
LC380180	#cc3333	dog
LC380181	#cc3333	dog
LC683182	#c8cc66	Bos taurus
LC682836	#cc3333	dog
LC682835	#cc3333	dog
LC682824	#cc3333	dog
LC682834	#cc3333	dog
U22857	#69cc33	Homo sapiens
KU739043	#cc3333	dog
KU739039	#cc3333	dog
EU888659	#cc3333	dog
EU888660	#cc3333	dog
FJ545674	#cc3333	dog
U22863	#cc3333	dog
EU853649	#cc3333	dog
EU853648	#cc3333	dog
EU853646	#cc3333	dog
EU853647	#cc3333	dog
FJ545678	#cc3333	dog
KU739038	#cc3333	dog
FJ545668	#cc3333	dog
KP976122	#cc3333	dog
EU478502	#cc3333	dog
EU478515	#cc3333	dog
EU478492	#cc3333	dog
EU478518	#cc3333	dog
AF325482	#cc3333	dog
GU815997	#cc3333	dog
KX148234	#cc3333	dog
EU853620	#cc3333	dog
MK471251	#cc3333	dog
U22485	#999ccc	Felis catus
FJ545673	#999ccc	Felis catus
AY103007	#69cc33	Homo sapiens
KF734723	#cc3333	dog
KF734725	#cc3333	dog
KF734727	#cc3333	dog
KF734728	#cc3333	dog
KF734736	#cc3333	dog
KF734678	#cc3333	dog
KF734681	#cc3333	dog
KF734682	#cc3333	dog
KF734686	#cc3333	dog
KF734687	#cc3333	dog
KF734688	#cc3333	dog
KF734697	#cc3333	dog
KF734698	#cc3333	dog
KF734699	#cc3333	dog
KF734700	#cc3333	dog
KF734704	#cc3333	dog
KF734706	#cc3333	dog
KF734707	#cc3333	dog
KF734708	#cc3333	dog
KF734712	#cc3333	dog
KF734714	#cc3333	dog
KF734715	#cc3333	dog
KF734716	#cc3333	dog
KF734718	#cc3333	dog
KF734720	#cc3333	dog
KF734721	#cc3333	dog
KF734722	#cc3333	dog
KF022192	#cc3333	dog
KF022190	#cc3333	dog
KX148240	#cc3333	dog
EU853654	#cc3333	dog
KX148243	#cc3333	dog
U22636	#66ccaf	Unknown
KU055546	#cc3333	dog
KU055547	#999ccc	Felis catus
